offer_id;code;name;full_name;brand;category_name;description_category_id;type_id;local_category_1;local_category_2;metrazh_flag;description;price;old_price;stock;currency_code;vat;tnved;weight;height;width;depth;dimension_unit;weight_unit;primary_image;image_local_path;image_sha256;image_visual_hash;external_url;group_name
AES111882PA;-63;Переключатель двухпозиционный ON-ON 12В/20А 6Р;Переключатель двухпозиционный ON-ON 12В/20А 6Р;AES;Строительство и ремонт / Электроустановочные изделия / Переключатель;17028654;970853968;Электрооборудование;Выключатели и панели;не метражный;Клавишный фиксируемый переключатель на шесть контактов. Для удобства монтажа на приборной панели используйте фиксирующие рамки.;905;669;4;RUB;0;8536508008;0.25;60;100;140;mm;kg;images/AES111882PA/01_8aac3b64c5.jpg;C:\Users\User\Desktop\общая прога для парсинга\ozon_demo_git_ready\images\AES111882PA\01_8aac3b64c5.jpg;1d6ff95e2afac3431378da104d89aaa1c717fdd8ac8a6601118e252e589b3585;d180808080c1f1fb;https://vodnik.ru/pereklyuchatel-dvuhpozicionnyy-on-on-12-v-20a-6r-00117638.html;1000 размеров
AES111882PBM1;-4;Переключатель трехпозиционный (ON)-OFF-ON 12B/20A 6P без фиксации 1 положения;Переключатель трехпозиционный (ON)-OFF-ON 12B/20A 6P без фиксации 1 положения;AES;Строительство и ремонт / Электроустановочные изделия / Переключатель;17028654;970853968;Электрооборудование;Выключатели и панели;не метражный;Клавишный с фиксацией одного положения на шесть контактов. Для удобства монтажа на приборной панели используйте фиксирующие рамки.;1114;824;2;RUB;0;8536508008;0.25;60;100;140;mm;kg;images/AES111882PBM1/01_f94c98a7aa.jpg;C:\Users\User\Desktop\общая прога для парсинга\ozon_demo_git_ready\images\AES111882PBM1\01_f94c98a7aa.jpg;5f61d13731d73ddb345a25b0ecbbfb85304fce950dfde6f5a7da84663c961d1f;d181808080c0f1f9;https://vodnik.ru/pereklyuchatel-trehpozicionnyy-on-off-on-12-v-20a-6r-bez-fiksacii-1-polozheniya-00117642.html;1000 размеров
AES111852BM1;-64;Переключатель трехпозиционный (ON)-OFF-ON 12В/16А 6Р без фиксации 1 положения;Переключатель трехпозиционный (ON)-OFF-ON 12В/16А 6Р без фиксации 1 положения;AES;Строительство и ремонт / Электроустановочные изделия / Переключатель;17028654;970853968;Электрооборудование;Выключатели и панели;не метражный;Клавишный с фиксацией одного положения на шесть контактов. Для удобства монтажа на приборной панели используйте фиксирующие рамки.;671;496;3;RUB;0;8536508008;0.25;60;100;140;mm;kg;images/AES111852BM1/01_0b4cb23bb0.jpg;C:\Users\User\Desktop\общая прога для парсинга\ozon_demo_git_ready\images\AES111852BM1\01_0b4cb23bb0.jpg;f4b8187ff4934e6ef0043e40a7fad05e7bddadd72a60a9e1a4fbfdda2de755ef;f181808080c0f0fb;https://vodnik.ru/pereklyuchatel-trehpozicionnyy-on-off-on-12-v-16a-6r-bez-fiksacii-1-polozheniya-00117579.html;1000 размеров
4508-1;10250600;"Автоматическая трюмная помпа ""Sahara 750"", 24 В";"Автоматическая трюмная помпа ""Sahara 750"", 24 В";Attwood;Спорт и отдых / Лодки и лодочные моторы;17029003;970827605;Палубное и трюмное оборудование;Водоснабжение;не метражный;"Новинка! Автоматические трюмные помпы максимальной производительностью 33, 48 и 70 л/мин. Применяются для откачки трюмной и подсланевой воды. Имеют встроенные поплавковые выключатели (без ртути!). Автоматически включаются при поступлении воды (при всплытии поплавкового выключателя). Также могут принудительно включаться владельцем судна. Снабжены рукоятками, позволяющими протестировать работоспособность автоматического выключателя, не разбирая помпу и не устраивая «учебного затопления». Провод питания длиной 90 см позволяет разместить место подключения (место пайки, скрутки проводов) на удалении от зоны, потенциально подверженной затоплению, что повышает надежность работы помпы. Помпы крепятся винтами через решетку фильтра. Верхняя часть помп легко снимается с решетки для чистки.
Производительность*, л/мин
Максимальный напор, м
«Sahara 500»
«Sahara 750»
«Sahara 1100»
при нулевом напоре
33
48
70
2,7
при напоре 1 м
23
40
62
4,8
при напоре 2 м
13
29
48
3,3
Номинальное напряжение питания
: 12, 24 В.
Номинальный ток
:
Sahara 500 (12В) — 1,5 А,
Sahara 750 (12 В) — 2,8 А,
Sahara 750 (24 В) — 1,5 А,
Sahara 1100 (12 В) — 4 А,
Sahara 1100 (24 В) — 1,9 А.
Высота
: 102 мм.
Длина
: 140 мм.
Диаметр выпускного патрубка («Sahara 500, 750»)
: 19 мм (3/4 дюйма).
Диаметр выпускного патрубка («Sahara 1100»)
: 29 мм (1-1/8 дюйма).
Производитель
: «Attwood», США.
* Производительность и максимальный напор указаны для напряжения на 13,3% выше номинального, т.е. для напряжения, обычно имеющегося в бортовой сети при работающем двигателе.

Характеристики:
УПРАВЛЕНИЕ: Автоматическое
Трюмные помпы по типу: Помпа электрическая, автоматическая
НАПРЯЖЕНИЕ/В: 24
ПРОИЗВОДИТЕЛЬНОСТЬ Л/МИН: 48
ПРОИЗВОДИТЕЛЬ: ATTWOOD
ВЛАГОЗАЩИТА: Помпа электрическая, автоматическая
СИЛА ТОКА/А: 1.5
ДИАМЕТР ВЫПУСКНОГО ПАТРУБКА/ММ: 19
ДИАМЕТР ВЫПУСКНОГО ПАТРУБКА/ДЮЙМЫ: 3/4
МАТЕРИАЛ: ПЛАСТИК
ЦВЕТ: Белый
ТИП: Помпа электрическая, автоматическая";16810;12439;1;RUB;0;7326909807;9.5;102;110;100;mm;kg;images/4508-1/001.jpg;C:\Users\User\Desktop\общая прога для парсинга\ozon_demo_git_ready\images\4508-1\001.jpg;524cb6f85c3b5a233c0549f20f19292c35de058a5288eb586fe87760225db1a5;fef89991939191bf;https://moreman.ru/product/avtomaticheskaya_tryumnaya_pompa_sahara_750_24_v-sku-115363/;ATTWOOD
TP2182;10262913;Горловина палубная заливная с вентиляцией, вода, белая;Горловина палубная заливная с вентиляцией, вода, белая;CAN;Спорт и отдых / Лодки и лодочные моторы;17029003;970827605;Палубное и трюмное оборудование;Проход борта и горловины;не метражный;"Палубная горловина с вентиляцией, ""water"", белая
Палубная горловина, объединенная с вентиляционным патрубком.
Надпись ""water"" (вода) на крышке.
Патрубок под шланг с внутренним диаметром 38 мм.
Вентиляционный патрубок под шланг с внутренним диаметром 19-20 мм.
Производитель:
«CanSB», Италия.

Характеристики:
ПРОИЗВОДИТЕЛЬ: CAN
ДИАМЕТР, ММ: 38
МАТЕРИАЛ: Пластик
ЦВЕТ: Белый
ТИП: Горловина";4422;3272;2;RUB;0;7326909807;0.3;60;120;120;mm;kg;images/TP2182/001.jpg;C:\Users\User\Desktop\общая прога для парсинга\ozon_demo_git_ready\images\TP2182\001.jpg;b17e646cd8b2b1a4e6fe2ad0bc0730b12a069c5a51676aeafe69b00fb1554163;ffdf810081c5cfff;https://moreman.ru/product/palubnaya_gorlovina_s_ventilyatsiey_quot_water_quot_belaya-sku-109731/;CAN SB
TP2189;10262911;Горловина палубная заливная с вентиляцией, топливо, белая;Горловина палубная заливная с вентиляцией, топливо, белая;CAN;Спорт и отдых / Лодки и лодочные моторы;17029003;970827605;Палубное и трюмное оборудование;Проход борта и горловины;не метражный;"Палубная горловина с вентиляцией, ""fuel"", белая
Палубная горловина, объединенная с вентиляционным патрубком. Надпись ""fuel"" (топливо) на крышке.
Патрубок под топливный шланг с внутренним диаметром 38 мм.
Вентиляционный патрубок под шланг с внутренним диаметром 19-20 мм.
Производитель:
«CanSB», Италия.

Характеристики:
НАЗНАЧЕНИЕ: FUEL
ПРОИЗВОДИТЕЛЬ: CAN
ДИАМЕТР, ММ: 38
МАТЕРИАЛ: Пластик
ЦВЕТ: Белый
ТИП: Палубная горловина";4422;3272;3;RUB;0;7326909807;0.3;60;120;120;mm;kg;images/TP2189/001.jpg;C:\Users\User\Desktop\общая прога для парсинга\ozon_demo_git_ready\images\TP2189\001.jpg;4accecb4b6ee1a0a1cf359b3ca403aaf7adb1a5f1244f9c57a6defd1eb6d899a;ffc7830081c5cfff;https://moreman.ru/product/palubnaya_gorlovina_s_ventilyatsiey_quot_fuel_quot_belaya-sku-109792/;CAN SB
TP2190;10262912;Горловина палубная заливная с вентиляцией, топливо, хром;Горловина палубная заливная с вентиляцией, топливо, хром;CAN;Спорт и отдых / Лодки и лодочные моторы;17029003;970827605;Палубное и трюмное оборудование;Проход борта и горловины;не метражный;"Палубная горловина с вентиляцией, ""fuel"", хромированная
Палубная горловина, объединенная с вентиляционным патрубком.
Надпись ""fuel"" (топливо) на крышке.
Патрубок под топливный шланг с внутренним диаметром 38 мм.
Вентиляционный патрубок под шланг с внутренним диаметром 19-20 мм.
Производитель:
«CanSB», Италия.

Характеристики:
НАЗНАЧЕНИЕ: FUEL
ПРОИЗВОДИТЕЛЬ: CAN
ДИАМЕТР, ММ: 38
МАТЕРИАЛ: Пластик
ЦВЕТ: Серебристый
ТИП: Палубная горловина";4752;3516;4;RUB;0;7326909807;0.3;60;120;120;mm;kg;images/TP2190/001.jpg;C:\Users\User\Desktop\общая прога для парсинга\ozon_demo_git_ready\images\TP2190\001.jpg;38ec58519007a3586ecbba1234178c030d1079249a82fb3b96f5dd84a2df0218;ff870181c5cdefff;https://moreman.ru/product/palubnaya_gorlovina_s_ventilyatsiey_quot_fuel_quot_khromirovannaya-sku-109920/;CAN SB
SE2011;10252286;Бак топливный портативный, 24 л;Бак топливный портативный, 24 л;CAN-SB;Спорт и отдых / Лодки и лодочные моторы;17029003;971053073;Моторы и запчасти;Топливные баки;не метражный;Переносной топливный бак в комплекте с вентиляционной крышкой и переходником «елочка», служащим для присоединения топливного шланга. Крышка заливной горловины оборудована сапуном. Контроль уровня топлива осуществляется через прозрачную вставку в боковой стенке бака. Конструктивная особенность строения позволяет баку иметь резерв топлива. Для облегчения эксплуатации оснащен ручкой для переноски.;10719;7932;3;RUB;0;8302419000;2100;230;340;460;mm;kg;images/SE2011/001.jpg;C:\Users\User\Desktop\общая прога для парсинга\ozon_demo_git_ready\images\SE2011\001.jpg;b781308ee2827320647c5248c0914969b6e2094fc5125f6203f17b8aae247a9f;ef83018181c1c7ef;https://vodnik.ru/bak-toplivnyy-perenosnoy-bez-ukazatelya-urovnya-v-komplekte-s-perehodnikom-elochka-24-l-00087694.html;CAN SB
SE2012;10252287;Бак топливный портативный, 29 л;Бак топливный портативный, 29 л;CAN-SB;Спорт и отдых / Лодки и лодочные моторы;17029003;971053073;Моторы и запчасти;Топливные баки;не метражный;Переносной топливный бак в комплекте с вентиляционной крышкой и переходником «елочка», служащим для присоединения топливного шланга. Крышка заливной горловины оборудована сапуном. Контроль уровня топлива осуществляется через прозрачную вставку в боковой стенке бака. Конструктивная особенность строения позволяет баку иметь резерв топлива. Для облегчения эксплуатации оснащен ручкой для переноски.;10886;8055;1;RUB;0;8302419000;2500;230;360;510;mm;kg;images/SE2012/001.jpg;C:\Users\User\Desktop\общая прога для парсинга\ozon_demo_git_ready\images\SE2012\001.jpg;d0838ea5be3aba516a0d2f5ea8451266b74e773d5bc0e9995faace4fa604be81;ffc70180c0e1e7ff;https://vodnik.ru/bak-toplivnyy-perenosnoy-bez-ukazatelya-urovnya-v-komplekte-s-perehodnikom-elochka-29-l-00087696.html;CAN SB
TP2101-10256178;10256178;Крышка топливного бака;Крышка топливного бака;CAN-SB;Спорт и отдых / Лодки и лодочные моторы;17029003;971053073;Моторы и запчасти;Запчасти и ремонт;не метражный;"Крышка топливного бака
Запасная крышка топливного бака.
Подходит к портативным топливным бакам производства «CanSB», Италия.
Совместимость с иными баками требует проверки.
Внутренний диаметр
: 56мм
Высота
: 20мм
Производитель
: «CanSB», Италия.

Характеристики:
ПРОИЗВОДИТЕЛЬ: CanSB
ТИП: Вспомогательное оборудование";2237;1655;1;RUB;0;8302419000;1400;20;310;430;mm;kg;images/TP2101-10256178/001.jpg;C:\Users\User\Desktop\общая прога для парсинга\ozon_demo_git_ready\images\TP2101-10256178\001.jpg;1fba443d37218a719da1b6aa9993277a83b6aefe3cc328ef281fd8aa7acc24f3;ffc38181818181ff;https://moreman.ru/product/kryshka_toplivnogo_baka-sku-116031/;CAN SB
6822;10251096;"Бокс для лейки душа ""Fantasy"", 100x105x70 мм";"Бокс для лейки душа ""Fantasy"", 100x105x70 мм";Ceredi;Спорт и отдых / Лодки и лодочные моторы;17029003;970827605;Палубное и трюмное оборудование;Водоснабжение;не метражный;"Бокс для лейки душа ""Fantasy""
Душевой короб из белого ABS пластика.
Снабжен крышкой.
Размеры (длина х ширина х глубина)
: 100×105×70 мм.
Производитель
: «Ceredi», Италия.

Характеристики:
ПРОИЗВОДИТЕЛЬ: Ceredi
ТИП: Вспомогательное оборудование";4430;3278;1;RUB;0;7326909807;9.5;70;105;100;mm;kg;images/6822/001.jpg;C:\Users\User\Desktop\общая прога для парсинга\ozon_demo_git_ready\images\6822\001.jpg;3dabb9fd0e59a70dac3a2bc4820a05db85c34f051473cba0c5e35639a59c1291;c38189bdff7d83e7;https://moreman.ru/product/boks_dlya_leyki_dusha_laquo_fantasy_mini_raquo-sku-114559/;CEREDI
6496;10251091;Бокс для лейки душа и смесителя, 129x134x115 мм;Бокс для лейки душа и смесителя, 129x134x115 мм;Ceredi;Спорт и отдых / Лодки и лодочные моторы;17029003;970827605;Палубное и трюмное оборудование;Водоснабжение;не метражный;Душевой короб для лейки душа и смесителя. Изготовлен из белого ABS пластика. Стандартный (с защелкой) и с замком, запираемым на ключ. Размеры (длина х ширина х глубина) : 129×134×115 мм. Производитель : «Ceredi», Италия.;5455;4036;2;RUB;0;7326909807;9.5;129;129;129;mm;kg;images/6496/01_980db5eaee.jpg;C:\Users\User\Desktop\общая прога для парсинга\ozon_demo_git_ready\images\6496\01_980db5eaee.jpg;81c7823e6637f95f6a364792aa2b69010a70490ead12a4edae0f785d989f435c;e7c3a1b11898cbff;https://vodnik.ru/korob-dlya-leyki-dusha-00182583.html;CEREDI
6635;10005056;ВОДЯНОЙ БАК -ELFO- 42л   65х35х22см;Стационарный бак для воды «ELFO», 42 литра;Ceredi;Спорт и отдых / Лодки и лодочные моторы;17029003;970827605;Палубное и трюмное оборудование;Водоснабжение;не метражный;"Стационарный бак для воды ELFO, 42 литров
Пластиковый бак для пресной воды.
Заливная горловина с резьбовой крышкой.
Два патрубка под шланги отбора воды и вентиляции.
Длина:
65 см.
Ширина:
35 см.
Высота:
22 см.
Производитель:
«Ceredi», Италия.

Характеристики:
ПРОИЗВОДИТЕЛЬ: Ceredi
ОБЪЕМ/Л: 42
ТИП: Бак";30018;22213;1;RUB;0;7326909807;9.5;22;35;65;mm;kg;images/6635/001.jpg;C:\Users\User\Desktop\общая прога для парсинга\ozon_demo_git_ready\images\6635\001.jpg;1836283a5440570136947c70c8722035c14afef50a0189d7155a472891bfd917;ffff010082e1ffff;https://moreman.ru/product/statsionarnyy_bak_dlya_vody_elfo_42_litrov-sku-121902/;CEREDI
6628;10005049;ВОДЯНОЙ БАК -TITANO- 45л  50х35х30см;Стационарный бак для воды «TITANO», 45 литров;Ceredi;Спорт и отдых / Лодки и лодочные моторы;17029003;970827605;Палубное и трюмное оборудование;Водоснабжение;не метражный;"Стационарный бак для воды TITANO, 45 литров
Пластиковый бак для пресной воды.
Заливная горловина с резьбовой крышкой.
Два патрубка под шланги отбора воды и вентиляции.
Длина:
50 см.
Ширина:
35 см.
Высота:
30 см.
Производитель:
«Ceredi», Италия.

Характеристики:
ПРОИЗВОДИТЕЛЬ: Ceredi
ОБЪЕМ/Л: 45
ТИП: Бак";35533;26294;1;RUB;0;7326909807;9.5;30;35;50;mm;kg;images/6628/001.jpg;C:\Users\User\Desktop\общая прога для парсинга\ozon_demo_git_ready\images\6628\001.jpg;a3ba2b8b33deb07c34e956d46503c666c3bab51235edac75a8a596aeb35f3a74;ffc9810604c1f7ff;https://moreman.ru/product/statsionarnyy_bak_dlya_vody_titano_45_litrov-sku-123096/;CEREDI
6462;10005040;Лейка душа с клапаном;Лейка душа с клапаном;Ceredi;Спорт и отдых / Лодки и лодочные моторы;17029003;970827605;Палубное и трюмное оборудование;Водоснабжение;не метражный;"Лейка душа с клапаном
Пластиковая лейка с металлическим распылителем и петелькой для подвешивания.
Наличие клапана непосредственно на лейке душа позволяет очень экономно расходовать воду.
Патрубок с резьбой 1/2 дюйма.
Цвет:
белый.
Производитель:
«Ceredi», Италия.

Характеристики:
ПРОИЗВОДИТЕЛЬ: Ceredi
ТИП: Лейка душа";4287;3172;4;RUB;0;7326909807;9.5;100;110;100;mm;kg;images/6462/001.jpg;C:\Users\User\Desktop\общая прога для парсинга\ozon_demo_git_ready\images\6462\001.jpg;2a7ade6aff8e76245de9ae15d0364d7825909b7d7bd746f3bf2ba8a155e3056c;e70301e1e1f3f3fb;https://moreman.ru/product/leyka_dusha_s_klapanom-sku-122714/;CEREDI
6262;10251101;Патрубок для лейки душа;Патрубок для лейки душа;Ceredi;Спорт и отдых / Лодки и лодочные моторы;17029003;970827605;Палубное и трюмное оборудование;Водоснабжение;не метражный;Патрубок предназначен для крепления лейки и вывода душевого шланга. Монтируется сквозь борт.;910;673;3;RUB;0;7326909807;9.5;80;110;80;mm;kg;images/6262/01_a660db4ac1.jpg;C:\Users\User\Desktop\общая прога для парсинга\ozon_demo_git_ready\images\6262\01_a660db4ac1.jpg;dafc9984484db115bc4dd3979dc73b413da05a6d6c4d50f35aada3665c311672;e78181c3c3c383c7;https://vodnik.ru/patrubok-dlya-leyki-dusha-00101300.html;CEREDI
6018_25;10256219;Пробка шпигата универсальная, 25 мм;Пробка шпигата универсальная, 25 мм;Ceredi;Спорт и отдых / Лодки и лодочные моторы;17029003;970827605;Палубное и трюмное оборудование;Проход борта и горловины;не метражный;"Пробка шпигата универсальная, 25 мм
Универсальная пробка с эксцентриковым зажимом.
Имеет эластичную манжету, расширяющуюся при фиксации зажима и жестко фиксирующую пробку в отверстии.
Производитель
: «Ceredi», Италия.

Характеристики:
ПРОИЗВОДИТЕЛЬ: Ceredi
ДИАМЕТР, ММ: 25
МАТЕРИАЛ: Пластик
ЦВЕТ: Черный
ТИП: Шпигаты";1240;917;3;RUB;0;7326909807;0.3;60;120;120;mm;kg;images/6018_25/001.jpg;C:\Users\User\Desktop\общая прога для парсинга\ozon_demo_git_ready\images\6018_25\001.jpg;114facc2cba6ccc594d09e12c48dea7c43038d4e8257430f0f730789c43bab70;ff9f878381919fff;https://moreman.ru/product/probka_shpigata_universalnaya_25_mm-sku-110717/;CEREDI
